wing_index,group,landmark,error_px
96,<18,18,1.680760383605957
96,<18,19,3.532437324523926
98,<18,1,246.5711669921875
98,<18,2,260.7673034667969
98,<18,3,271.4289855957031
98,<18,4,293.53948974609375
98,<18,5,311.2682189941406
98,<18,6,327.6607971191406
98,<18,7,378.6372985839844
98,<18,8,415.4728088378906
98,<18,9,429.89105224609375
98,<18,10,405.4176940917969
98,<18,11,452.0193176269531
98,<18,12,460.6536560058594
98,<18,13,479.46826171875
98,<18,14,463.3825988769531
98,<18,15,495.1669616699219
98,<18,16,589.1008911132812
98,<18,17,625.1199340820312
98,<18,18,623.2330322265625
98,<18,19,117.73504638671875
99,<18,1,1.7469617128372192
99,<18,2,0.5264955759048462
99,<18,3,0.862450361251831
99,<18,4,1.4531614780426025
99,<18,5,0.1869036704301834
99,<18,6,0.5824089050292969
99,<18,7,1.7046983242034912
99,<18,8,1.9518297910690308
99,<18,9,0.5886195302009583
99,<18,10,7.1409993171691895
99,<18,11,0.6741308569908142
99,<18,12,1.4633862972259521
99,<18,13,2.969459295272827
99,<18,14,1.719020128250122
99,<18,15,2.4533445835113525
99,<18,16,1.2356780767440796
99,<18,17,1.5564162731170654
99,<18,18,14.272022247314453
99,<18,19,1.7035200595855713
109,<18,1,18.385129928588867
109,<18,2,100.97867584228516
109,<18,3,40.346458435058594
109,<18,4,94.70989990234375
109,<18,5,0.09852592647075653
109,<18,6,43.98936080932617
109,<18,7,66.80807495117188
109,<18,8,31.57497787475586
109,<18,9,1.8858661651611328
109,<18,10,2.5943808555603027
109,<18,11,2.997032403945923
